Name,Height_cm,Weight_kg,Meal_Plan,Foods
Jason,174,73,Normal weight,"Chicken thigh, sweet potatoes, strawberries, asparagus, olive oil, lean beef, couscous, grapefruit, cauliflower, avocado"
Sarah,166,62,Normal weight,"Salmon, quinoa, kiwi, kale, almond butter, turkey breast, whole wheat bread, orange, spinach, almonds"
Brian,182,86,Overweight,"Turkey thigh, oats, mango, zucchini, cashews, tofu, brown rice, kiwi, bell peppers, coconut oil"
Julia,161,56,Underweight,"Tofu, whole wheat bread, raspberries, bell peppers, coconut oil, chicken thigh, quinoa, blueberries, bell peppers, olive oil"
Eric,178,80,Overweight,"Lean beef, brown rice, orange, broccoli, avocado, salmon, quinoa, kiwi, kale, almond butter"
Nicole,164,59,Normal weight,"Chicken breast, couscous, blueberries, spinach, olive oil, turkey breast, quinoa, banana, broccoli, cashews"
Andrew,188,92,Overweight,"Turkey breast, whole wheat pasta, strawberries, carrots, almond butter, lean beef, barley, pear, bell peppers, avocado"
Hannah,157,51,Underweight,"Egg whites, quinoa, banana, cucumber, hummus, pork loin, oats, apple, cucumber, hummus"
Michael,173,74,Normal weight,"Pork loin, barley, pear, green beans, coconut oil, tofu, brown rice, kiwi, bell peppers, coconut oil"
Amanda,159,54,Underweight,"Salmon, oats, apple, kale, almond butter, turkey thigh, whole wheat bread, grapefruit, cauliflower, avocado"
Alex,176,71,Normal weight,"Tofu, brown rice, kiwi, bell peppers, coconut oil, chicken thigh, quinoa, mango, asparagus, olive oil"
Rachel,167,63,Normal weight,"Chicken thigh, quinoa, mango, asparagus, olive oil, turkey breast, couscous, kiwi, cauliflower, almond butter"
Joshua,181,87,Overweight,"Lean beef, whole wheat bread, grapefruit, cauliflower, avocado, pork loin, oats, apple, cucumber, hummus"
Sophia,169,64,Normal weight,"Turkey thigh, sweet potatoes, strawberries, kale, cashews, salmon, quinoa, pear, spinach, almonds"
Brandon,184,89,Overweight,"Tofu, oats, pineapple, zucchini, almond butter, chicken breast, whole wheat pasta, banana, broccoli, cashews"
Lauren,154,49,Underweight,"Egg whites, brown rice, blueberries, carrots, hummus, salmon, quinoa, apple, kale, almond butter"
Christopher,178,81,Overweight,"Chicken breast, quinoa, orange, broccoli, avocado, turkey thigh, whole wheat bread, grapefruit, cauliflower, cashews"
Anna,165,61,Normal weight,"Salmon, whole wheat pasta, banana, spinach, olive oil, tofu, brown rice, kiwi, bell peppers, coconut oil"
Justin,177,77,Normal weight,"Turkey breast, couscous, kiwi, cauliflower, almond butter, pork loin, oats, apple, cucumber, hummus"
Stephanie,159,56,Underweight,"Pork loin, oats, apple, cucumber, hummus, salmon, brown rice, banana, kale, olive oil"
Timothy,186,93,Overweight,"Lean beef, barley, pear, bell peppers, avocado, chicken breast, quinoa, orange, spinach, almonds"
Megan,163,58,Normal weight,"Chicken thigh, quinoa, mango, asparagus, coconut oil, salmon, whole wheat pasta, strawberries, zucchini, almond butter"
Kyle,175,76,Normal weight,"Turkey thigh, sweet potatoes, strawberries, kale, cashews, tofu, brown rice, pear, bell peppers, coconut oil"
Victoria,160,57,Underweight,"Egg whites, barley, berries, cucumber, hummus, turkey breast, quinoa, apple, broccoli, almonds"
Benjamin,182,85,Overweight,"Tofu, oats, pineapple, zucchini, almond butter, lean beef, couscous, mango, cauliflower, cashews"
